Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Registrovan,Godina,Brand_enc,Model_enc,Tip_enc,Gorivo_enc
26900.0,155000.0,2.2,129.0,0,2014.0,29,199,4,1
16999.0,144000.0,1.5,55.0,0,2018.0,36,216,4,1
19500.0,320000.0,1.6,84.0,1,2012.0,46,497,4,1
32900.0,182000.0,1.6,118.0,0,2015.0,36,279,6,1
20700.0,153000.0,1.6,73.0,0,2016.0,6,166,4,1
19500.0,314000.0,2.0,135.0,1,2015.0,48,425,2,1
34900.0,172000.0,2.0,135.0,1,2019.0,48,425,2,1
20000.0,268590.0,2.0,103.0,1,2011.0,45,441,2,1
107500.0,116000.0,3.0,190.0,0,2019.0,2,596,4,1
9900.0,200000.0,1.6,68.0,0,2011.0,6,166,4,1
20500.0,142000.0,2.2,100.0,1,2010.0,30,147,4,1
12900.0,236000.0,1.6,77.0,0,2010.0,45,331,4,1
18500.0,246000.0,2.0,103.0,0,2009.0,45,550,4,1
7500.0,166080.0,1.7,59.0,0,2005.0,33,124,2,1
14990.0,256000.0,1.6,66.0,0,2011.0,1,97,4,1
7500.0,197120.0,2.2,92.0,0,2003.0,33,577,4,1
64900.0,154689.0,2.0,140.0,0,2017.0,2,594,11,1
4500.0,40000.0,1.9,74.0,1,2004.0,45,441,4,1
14950.0,240000.0,1.6,84.0,0,2013.0,34,61,4,1
17800.0,205000.0,1.6,77.0,1,2011.0,45,441,4,1
34850.0,170280.0,3.2,157.0,1,2010.0,30,36,12,1
8490.0,300000.0,2.6,125.0,0,2002.0,30,262,4,0
30000.0,168160.0,1.5,96.0,0,2019.0,33,341,10,1
39999.0,236000.0,3.0,180.0,1,2012.0,2,596,10,1
54000.0,103000.0,2.0,140.0,0,2017.0,2,63,4,1
27000.0,160000.0,2.0,88.0,1,2016.0,46,570,4,1
9800.0,240000.0,1.5,78.0,0,2011.0,36,290,4,1
12000.0,226800.0,1.4,50.0,0,2012.0,6,161,5,1
75000.0,277000.0,3.0,224.0,0,2018.0,1,460,4,1
8499.0,257000.0,1.5,65.0,0,2011.0,36,565,4,1
13500.0,160000.0,1.6,82.0,1,2012.0,6,334,6,1
94000.0,50000.0,2.0,228.0,1,2022.0,1,493,4,0
12300.0,175000.0,1.8,118.0,1,2009.0,45,567,5,0
16000.0,100000.0,5.0,125.0,1,1995.0,4,300,3,0
46500.0,246000.0,3.0,120.0,0,2018.0,45,119,12,1
31550.0,199400.0,1.6,85.0,0,2018.0,1,97,4,1
12700.0,230000.0,2.0,103.0,1,2006.0,1,101,4,1
